date,vix,credit_pnl,price_pnl,better
2025-05-13,17.74,1640.00,1640.00,credit
2025-05-14,18.50,300.00,1675.00,n=0.3
2025-05-15,18.67,245.00,-1235.00,credit
2025-05-16,17.43,-95.00,-815.00,credit
2025-05-19,18.53,-800.00,1630.00,n=0.3
2025-05-20,18.41,-1265.00,-2305.00,credit
2025-05-21,18.67,-3145.00,-6080.00,credit
2025-05-22,20.59,1145.00,1620.00,n=0.3
2025-05-23,22.37,1160.00,1570.00,n=0.3
2025-05-27,19.54,-270.00,-1115.00,credit
2025-05-28,19.07,590.00,590.00,credit
2025-05-29,19.48,335.00,335.00,credit
2025-05-30,19.18,-4355.00,-1005.00,n=0.3
2025-06-02,19.45,-570.00,-1225.00,credit
2025-06-03,18.32,40.00,-940.00,credit
2025-06-04,17.82,1060.00,1640.00,n=0.3
2025-06-05,18.08,-645.00,-1895.00,credit
2025-06-06,17.31,-645.00,1780.00,n=0.3
2025-06-09,17.25,375.00,1485.00,n=0.3
2025-06-10,17.06,-435.00,1095.00,n=0.3
2025-06-11,16.50,-875.00,-3160.00,credit
2025-06-12,17.70,1210.00,1595.00,n=0.3
2025-06-13,20.52,-1060.00,-300.00,n=0.3
2025-06-16,18.78,925.00,1340.00,n=0.3
2025-06-17,19.55,-260.00,-2210.00,credit
2025-06-18,20.15,1605.00,1605.00,credit
2025-06-20,19.69,95.00,610.00,n=0.3
2025-06-23,20.19,-3145.00,-4603.00,credit
2025-06-24,18.15,-160.00,290.00,n=0.3
2025-06-25,17.25,650.00,650.00,credit
2025-06-26,16.44,10.00,305.00,n=0.3
2025-06-27,16.40,-125.00,-460.00,credit
2025-06-30,17.28,1690.00,1690.00,credit
2025-07-01,16.84,-735.00,340.00,n=0.3
2025-07-02,17.02,395.00,395.00,credit
2025-07-03,16.43,45.00,45.00,credit
